Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,01/10/2023 11:30,Villa Park,Aston Villa,Manchester United,1 - 2
2,1,01/10/2023 12:00,Walton Hall Park,Everton,Brighton & Hove Albion,1 - 2
3,1,01/10/2023 13:00,Ashton Gate Stadium,Bristol City,Leicester City,2 - 4
4,1,01/10/2023 13:00,Emirates Stadium,Arsenal,Liverpool,0 - 1
5,1,01/10/2023 14:00,Chigwell Construction Stadium,West Ham United,Manchester City,0 - 2
6,1,01/10/2023 16:30,Stamford Bridge,Chelsea,Tottenham Hotspur,2 - 1
7,2,06/10/2023 18:30,Leigh Sports Village Stadium,Manchester United,Arsenal,2 - 2
8,2,08/10/2023 11:00,Broadfield Stadium,Brighton & Hove Albion,West Ham United,0 - 2
9,2,08/10/2023 11:30,Joie Stadium,Manchester City,Chelsea,1 - 1
10,2,08/10/2023 13:00,Brisbane Road,Tottenham Hotspur,Bristol City,3 - 1
12,2,08/10/2023 14:00,King Power Stadium,Leicester City,Everton,1 - 0
11,2,08/10/2023 17:45,Prenton Park,Liverpool,Aston Villa,2 - 0
17,3,14/10/2023 16:30,Kingsmeadow,Chelsea,West Ham United,2 - 0
13,3,15/10/2023 11:00,Leigh Sports Village Stadium,Manchester United,Leicester City,1 - 1
15,3,15/10/2023 12:00,Joie Stadium,Manchester City,Bristol City,5 - 0
18,3,15/10/2023 13:00,Emirates Stadium,Arsenal,Aston Villa,2 - 1
14,3,15/10/2023 15:00,Falmer Stadium,Brighton & Hove Albion,Tottenham Hotspur,1 - 3
16,3,15/10/2023 15:30,Anfield,Liverpool,Everton,0 - 1
20,4,21/10/2023 11:30,Poundland Bescot Stadium,Aston Villa,Tottenham Hotspur,2 - 4
19,4,21/10/2023 16:15,King Power Stadium,Leicester City,Manchester City,0 - 1
21,4,22/10/2023 12:00,Walton Hall Park,Everton,Manchester United,0 - 5
22,4,22/10/2023 13:00,Kingsmeadow,Chelsea,Brighton & Hove Albion,4 - 2
24,4,22/10/2023 14:00,Chigwell Construction Stadium,West Ham United,Liverpool,1 - 1
23,4,22/10/2023 17:45,Ashton Gate Stadium,Bristol City,Arsenal,1 - 2
25,5,04/11/2023 12:30,Poundland Bescot Stadium,Aston Villa,Chelsea,0 - 6
29,5,05/11/2023 12:30,Meadow Park,Arsenal,Manchester City,2 - 1
27,5,05/11/2023 14:00,Brisbane Road,Tottenham Hotspur,Everton,1 - 1
28,5,05/11/2023 14:00,Prenton Park,Liverpool,Leicester City,2 - 1
30,5,05/11/2023 15:00,Chigwell Construction Stadium,West Ham United,Bristol City,2 - 3
26,5,05/11/2023 18:45,Broadfield Stadium,Brighton & Hove Albion,Manchester United,2 - 2
31,6,12/11/2023 12:00,Leigh Sports Village Stadium,Manchester United,West Ham United,5 - 0
34,6,12/11/2023 12:30,Brisbane Road,Tottenham Hotspur,Liverpool,1 - 1
32,6,12/11/2023 13:00,Joie Stadium,Manchester City,Brighton & Hove Albion,0 - 1
33,6,12/11/2023 13:00,Walton Hall Park,Everton,Chelsea,0 - 3
35,6,12/11/2023 14:00,Ashton Gate Stadium,Bristol City,Aston Villa,0 - 2
36,6,12/11/2023 18:45,King Power Stadium,Leicester City,Arsenal,2 - 6
39,7,18/11/2023 13:30,Stamford Bridge,Chelsea,Liverpool,5 - 1
40,7,19/11/2023 13:00,Walton Hall Park,Everton,Bristol City,2 - 2
38,7,19/11/2023 14:00,Broadfield Stadium,Brighton & Hove Albion,Arsenal,0 - 3
41,7,19/11/2023 15:00,Chigwell Construction Stadium,West Ham United,Aston Villa,2 - 3
42,7,19/11/2023 15:00,King Power Stadium,Leicester City,Tottenham Hotspur,1 - 1
37,7,19/11/2023 16:30,Old Trafford,Manchester United,Manchester City,1 - 3
46,8,26/11/2023 12:30,Ashton Gate Stadium,Bristol City,Manchester United,0 - 2
44,8,26/11/2023 14:00,Prenton Park,Liverpool,Brighton & Hove Albion,4 - 0
45,8,26/11/2023 14:00,Kingsmeadow,Chelsea,Leicester City,5 - 2
48,8,26/11/2023 14:00,Meadow Park,Arsenal,West Ham United,3 - 0
47,8,26/11/2023 16:30,Villa Park,Aston Villa,Everton,1 - 2
43,8,26/11/2023 18:45,Joie Stadium,Manchester City,Tottenham Hotspur,7 - 0
50,9,09/12/2023 12:00,Joie Stadium,Manchester City,Aston Villa,2 - 1
53,9,10/12/2023 12:30,Emirates Stadium,Arsenal,Chelsea,4 - 1
49,9,10/12/2023 14:00,Broadfield Stadium,Brighton & Hove Albion,Leicester City,2 - 2
52,9,10/12/2023 14:00,Prenton Park,Liverpool,Bristol City,1 - 1
54,9,10/12/2023 15:00,Chigwell Construction Stadium,West Ham United,Everton,0 - 1
51,9,10/12/2023 18:45,Brisbane Road,Tottenham Hotspur,Manchester United,0 - 4
57,10,16/12/2023 12:00,Tottenham Hotspur Stadium,Tottenham Hotspur,Arsenal,1 - 0
55,10,17/12/2023 12:15,Leigh Sports Village Stadium,Manchester United,Liverpool,1 - 2
56,10,17/12/2023 13:00,Walton Hall Park,Everton,Manchester City,1 - 4
58,10,17/12/2023 14:00,Ashton Gate Stadium,Bristol City,Chelsea,0 - 3
59,10,17/12/2023 15:00,King Power Stadium,Leicester City,West Ham United,1 - 1
60,10,17/12/2023 18:45,Poundland Bescot Stadium,Aston Villa,Brighton & Hove Albion,1 - 0
66,11,19/01/2024 19:00,King Power Stadium,Leicester City,Aston Villa,0 - 1
61,11,20/01/2024 14:00,Meadow Park,Arsenal,Everton,2 - 1
64,11,21/01/2024 12:30,Stamford Bridge,Chelsea,Manchester United,3 - 1
63,11,21/01/2024 14:00,Broadfield Stadium,Brighton & Hove Albion,Bristol City,3 - 2
65,11,21/01/2024 14:30,Joie Stadium,Manchester City,Liverpool,5 - 1
