Match Number,Round Number,Date,Location,Home Team,Away Team,Result
62,11,22/01/2024 18:45,Chigwell Construction Stadium,West Ham United,Tottenham Hotspur,3 - 4
68,12,27/01/2024 17:30,Broadfield Stadium,Brighton & Hove Albion,Chelsea,0 - 3
67,12,28/01/2024 12:00,Old Trafford,Manchester United,Aston Villa,2 - 1
69,12,28/01/2024 12:30,Walton Hall Park,Everton,Leicester City,0 - 1
70,12,28/01/2024 14:00,Brisbane Road,Tottenham Hotspur,Manchester City,0 - 2
72,12,28/01/2024 14:00,Ashton Gate Stadium,Bristol City,West Ham United,1 - 2
71,12,28/01/2024 16:30,Prenton Park,Liverpool,Arsenal,0 - 2
73,13,03/02/2024 12:30,Poundland Bescot Stadium,Aston Villa,Bristol City,2 - 2
74,13,04/02/2024 12:00,Leigh Sports Village Stadium,Manchester United,Brighton & Hove Albion,2 - 0
78,13,04/02/2024 12:30,Chigwell Construction Stadium,West Ham United,Arsenal,2 - 1
75,13,04/02/2024 13:00,Joie Stadium,Manchester City,Leicester City,2 - 0
76,13,04/02/2024 14:00,Prenton Park,Liverpool,Tottenham Hotspur,1 - 1
77,13,04/02/2024 18:45,Kingsmeadow,Chelsea,Everton,3 - 0
83,14,16/02/2024 19:15,Kingsmeadow,Chelsea,Manchester City,0 - 1
79,14,17/02/2024 12:30,Emirates Stadium,Arsenal,Manchester United,3 - 1
80,14,18/02/2024 12:00,Broadfield Stadium,Brighton & Hove Albion,Liverpool,0 - 1
81,14,18/02/2024 13:00,Walton Hall Park,Everton,West Ham United,2 - 0
82,14,18/02/2024 14:00,Brisbane Road,Tottenham Hotspur,Aston Villa,1 - 2
84,14,18/02/2024 15:00,King Power Stadium,Leicester City,Bristol City,5 - 2
85,15,02/03/2024 12:00,Joie Stadium,Manchester City,Everton,2 - 1
88,15,03/03/2024 12:30,Emirates Stadium,Arsenal,Tottenham Hotspur,1 - 0
86,15,03/03/2024 14:00,Ashton Gate Stadium,Bristol City,Brighton & Hove Albion,3 - 7
87,15,03/03/2024 14:00,Poundland Bescot Stadium,Aston Villa,Liverpool,1 - 4
89,15,03/03/2024 15:00,Chigwell Construction Stadium,West Ham United,Manchester United,1 - 1
90,15,03/03/2024 18:00,King Power Stadium,Leicester City,Chelsea,0 - 4
93,16,15/03/2024 19:00,Stamford Bridge,Chelsea,Arsenal,3 - 1
94,16,16/03/2024 13:00,Walton Hall Park,Everton,Aston Villa,1 - 2
91,16,17/03/2024 12:00,Leigh Sports Village Stadium,Manchester United,Bristol City,2 - 0
96,16,17/03/2024 12:00,Prenton Park,Liverpool,West Ham United,3 - 1
92,16,17/03/2024 12:30,Broadfield Stadium,Brighton & Hove Albion,Manchester City,1 - 4
95,16,17/03/2024 14:00,Brisbane Road,Tottenham Hotspur,Leicester City,1 - 0
97,17,23/03/2024 12:30,Etihad Stadium,Manchester City,Manchester United,3 - 1
98,17,24/03/2024 13:00,Goodison Park,Everton,Liverpool,0 - 0
99,17,24/03/2024 14:00,Ashton Gate Stadium,Bristol City,Tottenham Hotspur,0 - 1
102,17,24/03/2024 15:00,King Power Stadium,Leicester City,Brighton & Hove Albion,2 - 3
101,17,24/03/2024 16:30,Chigwell Construction Stadium,West Ham United,Chelsea,0 - 2
100,17,24/03/2024 19:30,Villa Park,Aston Villa,Arsenal,1 - 3
103,18,30/03/2024 12:30,Poundland Bescot Stadium,Aston Villa,Leicester City,2 - 2
106,18,30/03/2024 12:30,Prenton Park,Liverpool,Manchester City,1 - 4
104,18,31/03/2024 11:00,Leigh Sports Village Stadium,Manchester United,Everton,4 - 1
108,18,31/03/2024 14:00,Chigwell Construction Stadium,West Ham United,Brighton & Hove Albion,0 - 0
107,18,14/04/2024 17:45,Meadow Park,Arsenal,Bristol City,5 - 0
105,18,15/05/2024 18:15,Brisbane Road,Tottenham Hotspur,Chelsea,0 - 1
112,19,17/04/2024 18:00,Kingsmeadow,Chelsea,Aston Villa,3 - 0
110,19,19/04/2024 18:00,Falmer Stadium,Brighton & Hove Albion,Everton,1 - 2
113,19,20/04/2024 11:30,Ashton Gate Stadium,Bristol City,Liverpool,0 - 1
109,19,21/04/2024 11:00,Leigh Sports Village Stadium,Manchester United,Tottenham Hotspur,2 - 2
114,19,21/04/2024 13:00,Emirates Stadium,Arsenal,Leicester City,3 - 0
111,19,21/04/2024 13:15,Joie Stadium,Manchester City,West Ham United,5 - 0
115,20,28/04/2024 11:30,Walton Hall Park,Everton,Arsenal,1 - 1
116,20,28/04/2024 13:00,Brisbane Road,Tottenham Hotspur,Brighton & Hove Albion,1 - 1
119,20,28/04/2024 13:00,Villa Park,Aston Villa,West Ham United,1 - 1
120,20,28/04/2024 14:00,King Power Stadium,Leicester City,Manchester United,0 - 1
118,20,28/04/2024 17:45,Ashton Gate Stadium,Bristol City,Manchester City,0 - 4
117,20,01/05/2024 18:00,Prenton Park,Liverpool,Chelsea,4 - 3
123,21,04/05/2024 11:00,Walton Hall Park,Everton,Tottenham Hotspur,2 - 2
121,21,04/05/2024 12:00,Broadfield Stadium,Brighton & Hove Albion,Aston Villa,0 - 1
124,21,05/05/2024 13:00,Prenton Park,Liverpool,Manchester United,1 - 0
122,21,05/05/2024 13:15,Joie Stadium,Manchester City,Arsenal,1 - 2
126,21,05/05/2024 14:00,Chigwell Construction Stadium,West Ham United,Leicester City,1 - 1
125,21,05/05/2024 17:45,Kingsmeadow,Chelsea,Bristol City,8 - 0
127,22,18/05/2024 14:00,Tottenham Hotspur Stadium,Tottenham Hotspur,West Ham United,3 - 1
128,22,18/05/2024 14:00,Old Trafford,Manchester United,Chelsea,0 - 6
129,22,18/05/2024 14:00,King Power Stadium,Leicester City,Liverpool,0 - 4
130,22,18/05/2024 14:00,Ashton Gate Stadium,Bristol City,Everton,0 - 4
131,22,18/05/2024 14:00,Villa Park,Aston Villa,Manchester City,1 - 2
132,22,18/05/2024 14:00,Meadow Park,Arsenal,Brighton & Hove Albion,5 - 0
